feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
SUF	IVSUFF_SUBJ:1P_MOOD:J	BASE	-	verb	1	i	-	-	j	-	-	-	-	p	-
SUF	IVSUFF_SUBJ:1S_MOOD:J	BASE	-	verb	1	i	-	-	j	-	-	-	-	s	-
SUF	IVSUFF_SUBJ:1P_MOOD:S	BASE	-	verb	1	i	-	-	s	-	-	-	-	p	-
SUF	IVSUFF_SUBJ:2D_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:2FP_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:2FS_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2MP_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:2MS_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:1S_MOOD:S	BASE	-	verb	1	i	-	-	s	-	-	-	-	s	-
SUF	IVSUFF_SUBJ:3FD_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	f	-	d	-
SUF	IVSUFF_SUBJ:3FP_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:3FS_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2D_MOOD:S	BASE	-	verb	2	i	-	-	s	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:3MD_MOOD:J	BASE	-	verb	2	i	-	-	j	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MD_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MP_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3MS_MOOD:J	BASE	-	verb	3	i	-	-	j	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:2MS_MOOD:S	BASE	-	verb	2	i	-	-	s	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:3FD_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	f	-	d	-
SUF	IVSUFF_SUBJ:2FP_MOOD:S	BASE	-	verb	2	i	-	-	s	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:2FS_MOOD:S	BASE	-	verb	2	i	-	-	s	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2MP_MOOD:S	BASE	-	verb	2	i	-	-	s	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3FS_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:3FP_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:3MD_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MP_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3MS_MOOD:S	BASE	-	verb	3	i	-	-	s	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:MP_MOOD:J	BASE	-	verb	-	i	-	-	j	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:MP_MOOD:S	BASE	-	verb	-	i	-	-	s	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:MP_MOOD:SJ	BASE	-	verb	-	i	-	-	s	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:MP_MOOD:SJ	BASE	-	verb	-	i	-	-	j	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:D_MOOD:SJ	BASE	-	verb	-	i	-	-	s	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:D_MOOD:SJ	BASE	-	verb	-	i	-	-	j	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:2FS_MOOD:SJ	BASE	-	verb	2	i	-	-	s	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2FS_MOOD:SJ	BASE	-	verb	2	i	-	-	j	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:1P_MOOD:E	BASE	-	verb	1	i	-	-	e	-	-	-	-	p	-
SUF	IVSUFF_SUBJ:1S_MOOD:E	BASE	-	verb	1	i	-	-	e	-	-	-	-	s	-
SUF	IVSUFF_SUBJ:2D_MOOD:E	BASE	-	verb	2	i	-	-	e	-	-	-	-	d	-
